ITAM ID	EDM Source System Name	Database Name	Certified (Yes/No)	Table Name	Column Name	Data Type	Column Length	Nullable (Yes/No)	Primary Key	PII	Data Lineage	Business Alias Name	Business Alias Description	CDE (Yes/No)	Example	Derived (Yes/No)	Derivation Logic	Sourced From Upstream (Yes/No)	System Checks
8442	maxime velit enim	ea officiis nihil maxime atque	provident voluptatibus qui deleniti dicta	unde enim sapiente dolorum	tempora	est quo assumenda ut	ullam nisi	numquam ducimus	et sunt	facilis velit	voluptatibus porro quis accusantium rem			iste ullam quia ab					
700	quia tempore fugiat	repudiandae maiores eos laudantium	commodi maxime eaque dolores nesciunt	repellat sequi tempore	ut totam itaque consequuntur	accusamus et	rerum est nisi	velit id ea veniam	fugit cupiditate deleniti quas rem	distinctio odio	ea			iusto ut iure accusamus ut					
7468	eaque neque doloribus laboriosam sint	assumenda	est nesciunt error	perferendis ullam praesentium iusto aut	laudantium facere laborum at	dolor magni	consequuntur atque laudantium soluta in	consequatur rem tempora corrupti quo	optio numquam quia sapiente cum	quia omnis aspernatur	totam consequuntur aut asperiores et			porro doloribus					
5916	eos quas non possimus enim	illo tenetur laboriosam corrupti mollitia	alias	debitis quasi ullam est	quia magnam omnis	mollitia dignissimos laudantium voluptate	nesciunt reiciendis quos quasi veniam	neque ut animi	quae	totam cum cum maxime	repellendus voluptatem corporis			voluptas					
956	distinctio modi placeat molestias	magni impedit sed libero	dolorem expedita numquam quia sint	vel qui ratione et qui	qui quae aut et molestiae	ut molestiae qui	autem assumenda	impedit	nobis inventore	exercitationem eum qui nostrum aut	harum voluptatem error			et enim					
9452	labore assumenda ex neque tempore	non ipsam ut et	quae quis	tenetur quod	incidunt	et	magnam sed quia et	quibusdam nihil consequatur	numquam adipisci	atque	sed tempore sunt ab quia			omnis non voluptas doloribus perferendis					
9964	perspiciatis harum non consequatur vitae	velit	qui	et	aperiam optio dicta accusantium assumenda	eum nisi quia aut veritatis	ut	et asperiores et iure	molestias odio corrupti ea	atque accusamus autem atque et	dolore molestias			qui quasi maxime consequuntur					
9420	quae fuga	voluptatibus eum autem autem corporis	quia maiores	velit et consequatur	excepturi aut et	laboriosam eveniet qui deserunt	ut quo	alias illo ut itaque	modi quis	placeat possimus voluptatem et sint	ea			veniam					
1605	veritatis quo	sit numquam	exercitationem quos aut excepturi aspernatur	consequatur laborum distinctio ipsa facilis	rem in voluptates	ut	ab minima sapiente qui provident	unde consequatur laborum	fugit	iure voluptatem nostrum quidem	in corrupti odit			quia					
87	doloremque	officia	repellat nihil dolorum	esse numquam consectetur et rerum	corporis architecto provident minima	sunt vero id numquam	laborum	nihil est quis dolorem atque	explicabo ea	inventore dolorem et molestias	et fugit			repellendus molestias rem consequatur a					
3577	tempora facere iste hic	exercitationem consequatur eos in	nobis	aliquam	dolor	aspernatur excepturi	nihil provident vel velit quaerat	officia sit quod labore	ullam quia inventore	maiores	repellat iure voluptatem omnis cum			ad et					
1754	aspernatur dolores	voluptatem	debitis	sint sed aspernatur vitae eum	pariatur autem	soluta	possimus eius necessitatibus sed	et consequatur aspernatur quam	eum	provident	rerum et			tempore maiores					
3880	est facere ducimus velit	eligendi qui	voluptates rerum aut	laboriosam reiciendis	laboriosam	maiores est quidem fugit est	consectetur non aut	quas tempora esse natus	commodi dolor repellendus	vel maiores et quae	tempore tempore sequi			et					
